timestamp,source_ip,method,url,params,body,headers,raw_query,is_malicious,attack_type,insertion_point,mutation_type,orig_payload_id,difficulty_score,source_file,Query,Label,Attack_Type,query_hash
2025-09-22T15:12:01Z,10.42.XXX.XXX,GET,/item,"{""id"": ""python tutorial price""}",,,GET /item?id=python tutorial price HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,5d5d286a87585278706168ffdf35aea5
2025-03-09T15:17:45Z,10.41.XXX.XXX,GET,/item,"{""id"": ""python tutorial price""}",,,GET /item?id=python tutorial price HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,5d5d286a87585278706168ffdf35aea5
2025-05-19T20:13:02Z,10.39.XXX.XXX,GET,/item,"{""id"": ""python tutorial price""}",,,GET /item?id=python tutorial price HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,5d5d286a87585278706168ffdf35aea5
2025-04-07T09:52:05Z,10.83.XXX.XXX,GET,/search,"{""q"": ""helmet""}",,,GET /search?q=helmet HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d5d059ff2c8375526998a12df4fb200e
2025-01-18T07:47:04Z,10.118.XXX.XXX,GET,/search,"{""q"": ""helmet""}",,,GET /search?q=helmet HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d5d059ff2c8375526998a12df4fb200e
2025-06-10T14:02:46Z,10.61.XXX.XXX,GET,/search,"{""q"": ""helmet""}",,,GET /search?q=helmet HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d5d059ff2c8375526998a12df4fb200e
2025-09-04T19:38:58Z,10.133.XXX.XXX,GET,/product,"{""id"": ""user123"", ""ref"": ""best bed""}",,,GET /product?id=user123&ref=best bed HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,61a1cfe64e8cfdf420b4a62a705ac6da
2025-07-23T02:07:09Z,10.191.XXX.XXX,GET,/item,"{""id"": ""best travel destinations""}",,,GET /item?id=best travel destinations HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,95bcfc5c7716cd639db2fdbc2fb45c44
2025-07-05T17:29:19Z,10.75.XXX.XXX,GET,/item,"{""id"": ""best travel destinations""}",,,GET /item?id=best travel destinations HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,95bcfc5c7716cd639db2fdbc2fb45c44
2025-01-10T06:36:27Z,10.115.XXX.XXX,GET,/item,"{""id"": ""best travel destinations""}",,,GET /item?id=best travel destinations HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,95bcfc5c7716cd639db2fdbc2fb45c44
2025-01-23T19:06:38Z,10.211.XXX.XXX,GET,/search,"{""q"": ""game""}",,,GET /search?q=game HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d56ac1064d662e4f387c949bfffc25c5
2025-01-18T01:38:33Z,10.240.XXX.XXX,GET,/search,"{""q"": ""game""}",,,GET /search?q=game HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d56ac1064d662e4f387c949bfffc25c5
2025-01-28T07:56:14Z,10.102.XXX.XXX,GET,/search,"{""q"": ""game""}",,,GET /search?q=game HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d56ac1064d662e4f387c949bfffc25c5
2025-08-02T06:24:33Z,10.10.XXX.XXX,POST,/api/search,,"{{""user"":""pants 2025"",""query"":""'/**/OR/**/1=1/**/AND/**/row(1,1)>(SeLeCt/**/COUNT(*),CONCAT(CHAR(58),CHAR(58),FLOOR(RAND(0)*2))x/**/FROM/**/INFORMATION_SCHEMA.PLUGINS/**/GROUP/**/BY/**/x/**/LIMIT/**/1)--""}}","{""Content-Type"": ""application/json""}","POST /api/search HTTP/1.1
Content-Type: application/json

{{""user"":""pants 2025"",""query"":""'/**/OR/**/1=1/**/AND/**/row(1,1)>(SeLeCt/**/COUNT(*),CONCAT(CHAR(58),CHAR(58),FLOOR(RAND(0)*2))x/**/FROM/**/INFORMATION_SCHEMA.PLUGINS/**/GROUP/**/BY/**/x/**/LIMIT/**/1)--""}}",1.0,error,body_json,none,p0150,0.7000000000000001,dataset.csv,,,,74d3571d766e857fef0ec57f6e2e0fc1
2025-08-02T12:59:50Z,10.227.XXX.XXX,GET,/search,"{""q"": ""%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529--""}",,,GET /search?q=%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529-- HTTP/1.1,1.0,error,query_param,base64,p0149,1.0,dataset.csv,,,,87c5f35992590fb976d2d6cfcb1c3d87
2025-05-06T18:18:37Z,10.100.XXX.XXX,GET,/search,"{""q"": ""%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529--""}",,,GET /search?q=%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529-- HTTP/1.1,1.0,error,query_param,case_obf,p0186,0.7,dataset.csv,,,,87c5f35992590fb976d2d6cfcb1c3d87
2025-10-04T18:00:58Z,10.216.XXX.XXX,GET,/search,"{""q"": ""%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529--""}",,,GET /search?q=%2527/%252A%252A/AND/%252A%252A/%2528SELECT/%252A%252A/%252A/%252A%252A/FROM/%252A%252A/%2528SELECT%2528SLEEP%25280%2529%2529%2529a%2529-- HTTP/1.1,1.0,error,query_param,url_encode,p0149,0.6000000000000001,dataset.csv,,,,87c5f35992590fb976d2d6cfcb1c3d87
2025-08-14T21:39:35Z,10.3.XXX.XXX,GET,/product,"{""id"": ""bike 2025"", ""ref"": ""table review""}",,,GET /product?id=bike 2025&ref=table review HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,a2e080ad07b9aa373d105fe68b33cdbc
2025-05-18T07:48:43Z,192.168.XXX.XXX,POST,/comment,,username=table&comment=..%2F..%2F..%2Fetc%2Fpasswd%2500,"{""Content-Type"": ""application/x-www-form-urlencoded""}","POST /comment HTTP/1.1
Content-Type: application/x-www-form-urlencoded

username=table&comment=..%2F..%2F..%2Fetc%2Fpasswd%2500",1.0,path-injection,body_form,none,p0113,0.3,dataset.csv,,,,bd6716c118adc1d65ad44e06eb4079fd
2025-03-24T13:45:50Z,10.195.XXX.XXX,GET,/product,"{""id"": ""best phone"", ""ref"": ""Table""}",,,GET /product?id=best phone&ref=Table HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,5d6fcd225d329934a868ea2dc0e71e75
2025-02-22T16:43:15Z,10.89.XXX.XXX,GET,/product,"{""id"": ""%27%3b%20%49%4e%53%45%52%54%20%49%4e%54%4f%20%75%73%65%72%73%20%56%41%4c%55%45%53%28%27%68%61%63%6b%65%72%27%2c%27%70%61%73%73%27%29%2d%2d"", ""ref"": ""Phone""}",,,GET /product?id=%27%3b%20%49%4e%53%45%52%54%20%49%4e%54%4f%20%75%73%65%72%73%20%56%41%4c%55%45%53%28%27%68%61%63%6b%65%72%27%2c%27%70%61%73%73%27%29%2d%2d&ref=Phone HTTP/1.1,1.0,stacked,query_param,whitespace_obf,p0089,0.7,dataset.csv,,,,ed9fc758e4ff8c6bc54826ee81d37e04
2025-09-04T18:51:06Z,10.108.XXX.XXX,GET,/search,"{""q"": ""jacket review""}",,,GET /search?q=jacket review HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d59f99025a24f7bccef7fbc67d1b7ed4
2025-08-17T09:00:52Z,10.14.XXX.XXX,GET,/search,"{""q"": ""jacket review""}",,,GET /search?q=jacket review HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d59f99025a24f7bccef7fbc67d1b7ed4
2025-09-06T12:50:19Z,10.21.XXX.XXX,GET,/search,"{""q"": ""jacket review""}",,,GET /search?q=jacket review HTTP/1.1,0.0,,,,,0.0,dataset.csv,,,,d59f99025a24f7bccef7fbc67d1b7ed4
